"Analysis","Parameter"
"FIELD","DO"
"FIELD","EC"
"FIELD","pH"
"FIELD","WaterCurrent"
"FIELD","WaterTemperature"
"NUT","AmmoniaN"
"NUT","NitrateNitriteNO3"
"NUT","OrthoPhosphateP"
"NUT","SpecCond"
"NUT","TKN"
"NUT","TotalPhosphorusPO4"
"NUT","TSS"
"NUT","Turbidity"
"NUT","VSS"
"FIELD","LF"
"FIELD","SF"
"FIELD","Hardness"
"BactiMF","ENT"
"BactiMF","FC"
"BactiMF","TC"
"OGPG","OilAndGrease"
"GLYP","GLYP"
"GM","Alkalinity as CaC03"
"GM","B"
"GM","Ca"
"GM","Chloride"
"GM","CO2"
"GM","CO3"
"GM","Fluoride"
"GM","HCO3"
"GM","Hydroxide"
"GM","K"
"GM","Mg"
"GM","Na"
"GM","NO3"
"GM","Silica"
"GM","Sulfate"
"GM","TDS"
"OPP","Azinphos methyl (Guthion)"
"OPP","Bolstar"
"OPP","Chlorpyrifos"
"OPP","Coumaphos"
"OPP","Demeton-o"
"OPP","Demeton-s"
"OPP","Diazinon"
"OPP","Dichlorvos"
"OPP","Dimethoate"
"OPP","Disulfoton"
"OPP","Ethoprop"
"OPP","Ethyl Parathion"
"OPP","Fensulfothion"
"OPP","Fenthion"
"OPP","Malathion"
"OPP","Merphos"
"OPP","Mevinphos"
"OPP","Naled "
"OPP","Parathion-methyl"
"OPP","Phorate"
"OPP","Ronnel"
"OPP","Tetrachlorovinphos"
"OPP","Tokuthion"
"OPP","Trichloronate"
"TOC","TOC"
"TRF As Se Hg","Ag"
"TRF As Se Hg","As"
"TRF As Se Hg","Cd"
"TRF As Se Hg","Cr"
"TRF As Se Hg","Cu"
"TRF As Se Hg ","Fe"
"TRF As Se Hg","Hg"
"TRF As Se Hg","Ni"
"TRF As Se Hg","Pb"
"TRF As Se Hg","Se"
"TRF As Se Hg","Zn"
"TXF2","CERIO_Dil_100_Reprod"
"TXF2","CERIO_Dil_100_Surv"
"TXF2","CERIO_Dil_100_Surv48Hr"
"TXF2","CERIO_Dil_50_Reprod"
"TXF2","CERIO_Dil_50_Surv"
"TXF2","CERIO_Dil_50_Surv48Hr"
"TXF2","CERIO_Dil_Control_Reprod"
"TXF2","CERIO_Dil_Control_Surv"
"TXF2","CERIO_Dil_Control_Surv48Hr"
"TXF2","CERIO_IC25_Reprod"
"TXF2","CERIO_IC25_Surv"
"TXF2","CERIO_IC25_Surv48Hr"
"TXF2","CERIO_IC50_Reprod"
"TXF2","CERIO_IC50_Surv"
"TXF2","CERIO_IC50_Surv48Hr"
"TXF2","CERIO_NOEC_Reprod"
"TXF2","CERIO_NOEC_Surv"
"TXF2","CERIO_NOEC_Surv48Hr"
"TXF2","CERIO_Probability_Reprod"
"TXF2","CERIO_Probability_Surv"
"TXF2","CERIO_Probability_Surv48Hr"
"TXF2","CERIO_Probability_Test_Reprod"
"TXF2","CERIO_Probability_Test_Surv"
"TXF2","CERIO_Probability_Test_Surv48Hr"
"TXF2","CERIO_TU_Reprod"
"TXF2","CERIO_TU_Surv"
"TXF2","CERIO_TU_Surv48Hr"
"TXF2","HYA_Dil_100_Surv96Hr"
"TXF2","HYA_Dil_50_Surv96Hr"
"TXF2","HYA_Dil_Control_Surv96Hr"
"TXF2","HYA_IC25_Surv96Hr"
"TXF2","HYA_IC50_Surv96Hr"
"TXF2","HYA_NOEC_Surv96Hr"
"TXF2","HYA_Probability_Surv96Hr"
"TXF2","HYA_Probability_Test_Surv96Hr"
"TXF2","HYA_TU_Surv96Hr"
"TXF2","SEL_Dil_100_CellDt"
"TXF2","SEL_Dil_50_CellDt"
"TXF2","SEL_Dil_Control_CellDt"
"TXF2","SEL_IC25_CellDt"
"TXF2","SEL_IC50_CellDt"
"TXF2","SEL_NOEC_CellDt"
"TXF2","SEL_Probability_CellDt"
"TXF2","SEL_Probability_Test_CellDt"
"TXF2","SEL_TU_CellDt"
"HYAZ-S","HYAS_Dil_100_Surv10Day"
"HYAZ-S","HYAS_Dil_Control_Surv10Day"
"HYAZ-S","HYAS_IC25_Surv10Day"
"HYAZ-S","HYAS_IC50_Surv10Day"
"HYAZ-S","HYAS_Probability_Surv10Day"
"HYAZ-S","HYAS_Probability_Test_Surv10Day"
"PHPS","2,4,5 TP-Silvex"
"PHPS","2,4'-D"
"PHPS","2,4'-DDD"
"PHPS","2,4'-DDE"
"PHPS","2,4'-DDT"
"PHPS","4,4'-DDD"
"PHPS","4,4'-DDE"
"PHPS","4,4'-DDT"
"PHPS","Aldrin"
"PHPS","Alpha-BHC"
"PHPS","Ametryn"
"PHPS","Atraton"
"PHPS","Atrazine"
"PHPS","Beta-BHC"
"PHPS","Chlordane-alpha"
"PHPS","Chlordane-gamma"
"PHPS","cis-Nonachlor"
"PHPS","Delta-BHC"
"PHPS","Demeton"
"PHPS","Dieldrin"
"PHPS","Endosulfan I"
"PHPS","Endosulfan II"
"PHPS","Endosulfan Sulfate"
"PHPS","Endrin"
"PHPS","Endrin Aldehyde"
"PHPS","Endrin Ketone"
"PHPS","Fenchlorphos"
"PHPS","Gamma-BHC"
"PHPS","Heptachlor"
"PHPS","Heptachlor Epoxide"
"PHPS","Methoxychlor"
"PHPS","Mirex"
"PHPS","OxyChlordane"
"PHPS","Parathion-Methyl"
"PHPS","PCB018"
"PHPS","PCB028"
"PHPS","PCB031"
"PHPS","PCB033"
"PHPS","PCB037"
"PHPS","PCB044"
"PHPS","PCB049"
"PHPS","PCB052"
"PHPS","PCB066"
"PHPS","PCB070"
"PHPS","PCB074"
"PHPS","PCB077"
"PHPS","PCB081"
"PHPS","PCB087"
"PHPS","PCB095"
"PHPS","PCB097"
"PHPS","PCB099"
"PHPS","PCB101"
"PHPS","PCB-1016"
"PHPS","PCB105"
"PHPS","PCB110"
"PHPS","PCB114"
"PHPS","PCB118"
"PHPS","PCB119"
"PHPS","PCB-1221"
"PHPS","PCB123"
"PHPS","PCB-1232"
"PHPS","PCB-1242"
"PHPS","PCB-1248"
"PHPS","PCB-1254"
"PHPS","PCB126"
"PHPS","PCB-1260"
"PHPS","PCB138"
"PHPS","PCB141"
"PHPS","PCB149"
"PHPS","PCB151"
"PHPS","PCB153"
"PHPS","PCB156"
"PHPS","PCB157"
"PHPS","PCB158"
"PHPS","PCB168+132"
"PHPS","PCB169"
"PHPS","PCB170"
"PHPS","PCB177"
"PHPS","PCB180"
"PHPS","PCB183"
"PHPS","PCB187"
"PHPS","PCB189"
"PHPS","PCB194"
"PHPS","PCB200"
"PHPS","PCB201"
"PHPS","PCB206"
"PHPS","Perthane"
"PHPS","Prometon"
"PHPS","Prometryn"
"PHPS","Propazine"
"PHPS","Secbumeton"
"PHPS","Simazine"
"PHPS","Simetryn"
"PHPS","Terbuthylazine"
"PHPS","Tertbutryn"
"PHPS","Tetrachlorvinphos"
"PHPS","Toxaphene"
"PHPS","Trans-Nonachlor"
"PP-S","Allethrin"
"PP-S","Bifenthrin"
"PP-S","Cyfluthrin"
"PP-S","Cypermethrin"
"PP-S","L-Cyhalothrin"
"PP-S","Permethrin"
"PP-S","Prallethrin"
"TOC-S","TOC-S"
"TRS","Be"
"TRS","Sb"
"TRS","Tl"
"DOC","DOC"
"MBAS","MBAS"
"PP-FS","Deltamethrin"
"SVOC ","1,2,4-Trichlorobenzene"
"SVOC ","1,2-Dichlorobenzene"
"SVOC ","1,3-Dichlorobenzene"
"SVOC ","1,4-Dichlorobenzene"
"SVOC","1-Methylnaphthalene"
"SVOC ","2,4- Dichlorophenol"
"SVOC ","2,4- Dimethylphenol"
"SVOC ","2,4,6- Trichlorophenol"
"SVOC ","2,4-Dinitrophenol"
"SVOC ","2,4-Dinitrotoluene"
"SVOC ","2-Chloronaphthalene"
"SVOC ","2-chlorophenol"
"SVOC ","2-Methyl-4,6-dinitrophenol"
"SVOC","2-Methylnaphthalene"
"SVOC ","2-Nitrophenol"
"SVOC ","3,3'-dichlorobenzidine"
"SVOC ","4-Bromophenylphenylether"
"SVOC ","4-Chloro-3-methylphenol"
"SVOC ","4-Chlorophenylphenylether"
"SVOC ","4-Nitrophenol"
"SVOC ","Acenaphthene"
"SVOC ","Acenaphthylene"
"SVOC ","Anthracene"
"SVOC","Azobenzene"
"SVOC ","Benzidine"
"SVOC ","Benzo[a]anthracene"
"SVOC ","Benzo[a]pyrene"
"SVOC ","Benzo[b]fluoranthene"
"SVOC ","Benzo[g,h,i]perylene"
"SVOC ","Benzo[k]fluoranthene"
"SVOC ","bis(2-Chloroethoxy)methane"
"SVOC ","bis(2-Chloroethyl)ether"
"SVOC ","bis(2-Chloroisopropyl)ether"
"SVOC ","bis(2-Ethylhexyl) Phthalate"
"SVOC ","Butylbenzyl Phthalate"
"SVOC ","Chrysene"
"SVOC ","Dibenz[a,h]anthracene"
"SVOC ","Diethyl Phthalate"
"SVOC ","Dimethyl Phthalate"
"SVOC ","Di-n-butyl Phthalate"
"SVOC ","Di-n-octyl Phthalate"
"SVOC ","Fluoranthene"
"SVOC ","Fluorene"
"SVOC ","Hexachlorobenzene"
"SVOC ","Hexachlorobutadiene"
"SVOC ","Hexachlorocyclopentadiene"
"SVOC ","Hexachloroethane"
"SVOC ","Indeno[1,2,3-c,d]pyrene"
"SVOC ","Isophorone"
"SVOC ","Naphthalene"
"SVOC ","Nitrobenzene"
"SVOC ","N-Nitrodimethylamine"
"SVOC ","N-Nitrosodi-n-propylamine"
"SVOC ","N-Nitrosodiphenylamine"
"SVOC ","Pentachlorophenol"
"SVOC ","Phenanthrene"
"SVOC ","Phenol"
"SVOC ","Pyrene"
"SVOC-FS","1,2,3-Trichlorobenzene"
"SVOC-FS","1-Methylphenanthrene"
"SVOC-FS","2,3,5-Trimethylnaphthalene"
"SVOC-FS","2,6-Dimethylnaphthalene"
"SVOC-FS","2,6-Dinitrotoluene"
"SVOC-FS","Benzo[e]pyrene"
"SVOC-FS","Biphenyl"
"SVOC-FS","Dibenzothiophene"
"SVOC-FS","Perylene"
"SVOC-FS","Styrene"
"SVOC-FS","Total PAHs"
"TXM5","MSG_Dil_100_Biomass"
"TXM5","MSG_Dil_100_Surv"
"TXM5","MSG_Dil_100_Surv48Hr"
"TXM5","MSG_Dil_12.5_Biomass"
"TXM5","MSG_Dil_12.5_Surv"
"TXM5","MSG_Dil_12.5_Surv48Hr"
"TXM5","MSG_Dil_25_Biomass"
"TXM5","MSG_Dil_25_Surv"
"TXM5","MSG_Dil_25_Surv48Hr"
"TXM5","MSG_Dil_50_Biomass"
"TXM5","MSG_Dil_50_Surv"
"TXM5","MSG_Dil_50_Surv48Hr"
"TXM5","MSG_Dil_6.25_Biomass"
"TXM5","MSG_Dil_6.25_Surv"
"TXM5","MSG_Dil_6.25_Surv48Hr"
"TXM5","MSG_Dil_Control_Biomass"
"TXM5","MSG_Dil_Control_Surv"
"TXM5","MSG_Dil_Control_Surv48Hr"
"TXM5","MSG_IC25_Biomass"
"TXM5","MSG_IC25_Surv"
"TXM5","MSG_IC25_Surv48Hr"
"TXM5","MSG_IC50_Biomass"
"TXM5","MSG_IC50_Surv"
"TXM5","MSG_IC50_Surv48Hr"
"TXM5","MSG_NOEC_Biomass"
"TXM5","MSG_NOEC_Surv"
"TXM5","MSG_NOEC_Surv48Hr"
"TXM5","MSG_Probability_Biomass"
"TXM5","MSG_Probability_Surv"
"TXM5","MSG_Probability_Surv48Hr"
"TXM5","MSG_Probability_Test_Biomass"
"TXM5","MSG_Probability_Test_Surv"
"TXM5","MSG_Probability_Test_Surv48Hr"
"TXM5","MSG_TU_Biomass"
"TXM5","MSG_TU_Surv"
"TXM5","MSG_TU_Surv48Hr"
"TXM5","SU_Dil_100_Fert"
"TXM5","SU_Dil_12.5_Fert"
"TXM5","SU_Dil_25_Fert"
"TXM5","SU_Dil_50_Fert"
"TXM5","SU_Dil_6.25_Fert"
"TXM5","SU_Dil_Control_Fert"
"TXM5","SU_IC25_Fert"
"TXM5","SU_IC50_Fert"
"TXM5","SU_NOEC_Fert"
"TXM5","SU_Probability_Fert"
"TXM5","SU_Probability_Test_Fert"
"TXM5","SU_TU_Fert"
"Cl","Cl"
"SO4","SO4"
"PHPS","Chlordane"
"HYAZ5","HYA_Dil_12.5_Surv96Hr"
"HYAZ5","HYA_Dil_25_Surv96Hr"
"HYAZ5","HYA_Dil_6.25_Surv96Hr"
"TXF5","CERIO_Dil_12.5_Reprod"
"TXF5","CERIO_Dil_12.5_Surv"
"TXF5","CERIO_Dil_12.5_Surv48Hr"
"TXF5","CERIO_Dil_25_Reprod"
"TXF5","CERIO_Dil_25_Surv"
"TXF5","CERIO_Dil_25_Surv48Hr"
"TXF5","CERIO_Dil_6.25_Reprod"
"TXF5","CERIO_Dil_6.25_Surv"
"TXF5","CERIO_Dil_6.25_Surv48Hr"
"TXF5","SEL_Dil_12.5_CellDt"
"TXF5","SEL_Dil_25_CellDt"
"TXF5","SEL_Dil_6.5_CellDt"
"PP","Esfenvalerate"
"PAH-S","(1,2,3-CE)Pyrene"
"PAH-S","Acenapthene"
"PAH-S","Acenapthylene"
"PAH-S","Benzo (A) Anthracene"
"PAH-S","Benzo (A) Pyrene"
"PAH-S","Benzo (GHI) Perylene"
"PAH-S","Benzo (K) Fluoranthene"
"PAH-S","Benzo(b)Fluoranthene"
"PHPS","PCB128"
"PHPS","PCB132"
"FIP","Fipronil"
"FIP","Fipronil Sulfide"
"FIP","Fipronil Sulfone"
"PHP-PP-S","PCB008"
"PHP-PP-S","PCB167"
"PHP-PP-S","PCB195"
"PHP-PP-S","PCB209"
"NPS","Nitrogen-S"
"NPS","Phosphorus-S"
"SQO-S","1-methylnaphthalene"
"SQO-S","2-methylnaphthalene"
"HARD","Hardness as CaCO3"
"NUT","NitrateNitriteN"
"OCP ","Endosulfan sulfate"
"OCP ","Endosulfan-I"
"OCP ","Endosulfan-II"
"OCP ","Trans-Nonchlor"
"PCB","PCB128+167"
"PP","Cis-Permethrin"
"PP","Trans-Permethrin"
"HERB-S","2,4,5,-T"
"HERB-S","2,4-DB"
"HERB-S","Dalapon"
"HERB-S","Dicamba"
"HERB-S","Dichlorprop"
"HERB-S","Dinoseb"
"HERB-S","MCPA"
"HERB-S","MCPP"
"OCP-FS","PCB056+60"
"NUT","PhosphorusAsP"
"OCP-FS","PCB174"
"PCB","PCB003"
"%MSTR","Percent Moisture"
"%SOLID","% Solid"
"PCBS","PCB199"
"REE","Ce"
"REE","Dy"
"REE","Er"
"REE","Gd"
"REE","Ho"
"REE","Lu"
"REE","Nd"
"REE","Pr"
"REE","Sc"
"REE","Sm"
"REE","Tb"
"REE","Y "
"REE","Yb"
"OCP ","cis-Nonchlor"
"OCP ","Total Chlordane"
"SVOC","1,2-Diphenylhydrazine"
"SVOC","2,3,6-Trichlorophenol"
"SVOC","a-Picoline (Synfuel)"
"SVOC","a-terpineol"
"SVOC","B-naphthylamine"
"SVOC","Carbazole"
"SVOC","Dibenzofuran"
"SVOC","Diphenyl ether"
"SVOC","Diphenylamine"
"SVOC","n-C10"
"SVOC","n-C12"
"SVOC","n-C14"
"SVOC","n-C16"
"SVOC","n-C18"
"SVOC","n-C20"
"SVOC","n-C22"
"SVOC","n-C24"
"SVOC","n-C26"
"SVOC","n-C28"
"SVOC","n-C30"
"SVOC","P-cymene"
"Idexx","Ecoli (Idexx)"
"ECO","Ecoli"
"FIP","Desulfinyl Fipronil"
"CND","Cyanide"
"OCP-FS","Oxychlordane"
"VO","1,1,1-Trichloroethane"
"VO","1,1,2,2-Tetrachloroethane"
"VO","1,1,2-Trichloroethane"
"VO","1,1-Dichloroethane"
"VO","1,1-Dichloroethene"
"VO","1,2-Dichloroethane"
"VO","1,2-Dichloropropane"
"VO","1,3-Dichloropropane"
"VO","2-Chloroethylvinyl Ether"
"VO","Acrolein"
"VO","Acrylonitrile"
"VO","Benzene"
"VO","Bromodichloromethane"
"VO","Bromoform"
"VO","Bromomethane"
"VO","Carbon Tetrachloride"
"VO","Chlorobenzene"
"VO","Chloroethane"
"VO","Chloroform"
"VO","Chloromethane"
"VO","Cis-1,3-Dichloropropene"
"VO","Dibromochloromethane"
"VO","Dichlorodifluoromethane"
"VO","Ethyl benzene"
"VO","m-Dichlorobenzene"
"VO","Methyl tert butyl ether"
"VO","Methylene Chloride"
"VO","o-Dichlorobenzene"
"VO","o-Xylene"
"VO","p-Dichlorobenzene"
"VO","Tetrachloroethene"
"VO","Toluene"
"VO","Trans-1,2-Dichloroethene"
"VO","Trans-1,3-Dichloropropene"
"VO","Trichloroethene"
"VO","Trichlorofluoromethane"
"VO","Vinyl Chloride"
"VO","Xylene, meta & para"
"SVOC","2,4,5-Trichlorophenol"
"BACRIOm","Human Bacteroides"
